Guinea,1.074,1.119,2.731,3.440
Guinea-Bissau,0.196,0.289,0.409,0.320
Guyana,0.337,0.725,1.771,2.900
Haiti,1.147,2.234,3.521,3.240
Honduras,2.351,7.806,10.562,9.750
Hong Kong,34.182,41.916,44.715,33.210
Hungary,71.929,59.758,50.856,50.690
Iceland,2.346,3.170,4.097,2.910
India,605.968,1210.750,2454.770,2648.780
Indonesia,162.000,359.989,511.327,602.590
Iran,206.780,467.905,671.450,710.830
Iraq,69.262,89.103,199.296,177.850
Ireland,32.852,47.277,38.914,35.010
Israel,35.291,62.149,66.916,59.590
Italy  San Marino  Vatican City,430.762,498.205,361.176,319.670
Ivory Coast,3.020,6.392,12.505,14.540
Jamaica,7.525,10.631,7.546,8.080
Japan,1149.400,1276.860,1320.780,1084.690
Jordan,10.208,19.755,24.565,24.300
Kazakhstan,250.382,182.369,266.207,211.210
Kenya,6.467,8.787,18.594,22.430
Kiribati,0.020,0.033,0.030,0.080
Kuwait,31.414,75.218,97.151,98.080
Kyrgyzstan,23.696,5.475,11.180,10.780
Laos,0.211,1.038,2.818,20.560
Latvia,20.141,8.242,8.049,7.210
Lebanon,5.977,16.505,23.102,25.770
Lesotho,0.100,0.175,0.754,0.650
Liberia,0.416,0.473,1.129,1.440
Libya,37.143,56.700,57.584,63.280
Lithuania,35.314,14.075,15.311,13.820
Luxembourg,11.750,12.156,9.540,8.450
Macau,0.982,1.624,1.280,2.660
Madagascar,0.700,2.220,4.156,5.300
Malawi,0.457,1.437,1.572,1.820
Malaysia,59.225,182.503,258.783,251.560
Maldives,0.065,0.479,0.964,2.210
Mali,0.383,0.543,0.951,5.920
Malta,2.352,2.769,1.876,1.750
Martinique,0.944,1.120,2.374,1.900
Mauritania,0.684,2.911,2.962,4.260
Mauritius,1.191,2.977,3.993,4.130
Mexico,290.355,448.171,507.183,418.350
Moldova,31.957,8.139,8.263,9.550
Mongolia,13.151,11.083,25.747,24.990
Morocco,22.386,44.368,61.584,73.970
Mozambique,1.183,2.703,7.754,8.640
Myanmar,4.401,11.146,28.462,40.050
Namibia,1.542,2.504,4.299,4.070
Nepal,1.066,3.298,8.218,14.310
Netherlands,161.447,181.433,174.770,146.870
New Caledonia,1.623,2.453,5.912,5.700
New Zealand,24.006,36.746,36.795,32.600
Nicaragua,1.945,4.312,5.919,5.000
Niger,0.875,0.796,2.497,2.470
Nigeria,68.581,100.196,94.847,127.030
North Korea,131.365,79.568,37.774,62.570
North Macedonia,11.189,9.694,8.049,7.510
Norway,51.454,55.403,52.492,42.330
Oman,11.884,32.964,78.421,94.620
Pakistan,66.270,130.354,197.297,219.790
Palau,2.155,1.734,1.411,1.320
Panama,2.735,7.204,12.256,12.510
Papua New Guinea,2.307,4.379,4.351,6.570
Paraguay,2.263,3.934,6.535,8.890
Peru,21.039,31.692,55.931,55.140
Philippines,43.623,81.261,137.154,147.960
Poland,371.139,316.256,319.028,320.770
Portugal,43.672,68.077,56.771,38.680
Puerto Rico,2.064,2.272,2.164,1.260
Qatar,16.291,43.435,97.787,97.690
Réunion,1.010,2.367,2.916,2.580
Romania,187.142,104.713,81.131,78.750
Russia,2378.920,1733.950,1764.870,1942.540
Rwanda,0.525,0.748,1.106,1.240
"Saint Helena, Ascension and Tristan da Cunha",0.010,0.010,0.015,0.020
Saint Kitts and Nevis,0.034,0.063,0.238,0.290
Saint Lucia,0.076,0.158,0.364,0.710
Saint Pierre and Miquelon,0.148,0.031,0.075,0.090
Saint Vincent and the Grenadines,0.038,0.095,0.179,0.230
Samoa,0.129,0.121,0.147,0.360
São Tomé and Príncipe,0.047,0.057,0.157,0.150
Saudi Arabia,166.172,339.441,638.762,586.400
Senegal,2.397,5.800,9.689,11.980
Serbia & Montenegro,66.388,61.497,62.487,39.350
Seychelles,0.288,0.678,0.968,1.050
Sierra Leone,0.741,0.493,1.309,1.010
Singapore,31.623,42.998,55.018,58.180
Slovakia,60.537,42.194,37.855,37.480
Slovenia,16.623,18.300,15.209,14.170
Solomon Islands,0.133,0.187,0.146,0.330
Somalia,0.695,0.765,0.927,0.760
South Africa,312.463,433.170,467.654,435.520
South Korea,270.056,514.946,673.324,626.800
Spain  Andorra,229.966,368.948,282.364,231.910
Sri Lanka,4.187,14.421,23.978,23.860
Sudan  South Sudan,5.536,10.773,21.056,21.370
Suriname,0.908,1.686,2.213,2.710
Sweden,58.117,55.877,50.874,38.920
Switzerland  Liechtenstein,44.955,47.161,39.738,35.070
Syria,33.876,25.582,28.377,25.860
Taiwan,124.383,269.099,279.740,288.160
Tajikistan,12.267,3.263,5.699,10.130
Tanzania,2.096,5.780,14.650,13.410
Thailand,93.009,225.613,279.296,269.570
The Gambia,0.149,0.235,0.554,0.560
Togo,0.765,1.327,2.843,2.260
Tonga,0.064,0.120,0.136,0.170
Trinidad and Tobago,14.895,34.450,37.745,28.990
Tunisia,14.705,23.355,31.630,31.790
Turkey,149.893,246.169,429.563,449.720
Turkmenistan,45.628,52.851,72.474,83.320
Turks and Caicos Islands,0.007,0.005,0.165,0.250
Uganda,0.644,1.664,5.042,6.820
Ukraine,783.210,354.429,205.723,185.460
United Arab Emirates,56.922,122.395,202.802,193.510
United Kingdom,589.038,561.543,379.150,335.360
United States,5085.900,5971.570,5107.390,4752.080
Uruguay,3.893,5.483,6.930,6.790
Uzbekistan,123.106,116.386,95.350,125.650
Vanuatu,0.130,0.063,0.091,0.220
Venezuela,109.268,152.464,145.877,104.670
Vietnam,20.182,99.231,218.729,321.410
Western Sahara,0.144,0.227,0.276,0.240
Yemen,6.887,21.768,12.503,12.050
Zambia,2.955,2.457,4.967,7.010
Zimbabwe,17.178,11.388,12.087,12.290
